EmployeeID,Name,Department,Designation,Age,Gender,City,Month,WorkingDays,PresentDays,AbsentDays,BasicSalary,Allowance,Deduction,NetSalary,AttendancePercentage,daily_salary,Final_salary
1,Employee_1,IT,Officer,23,Male,Mardan,July,30,21,9,35000,2500,1250,36250,70.0,1208.3333333333333,25375.0
2,Employee_2,Finance,Assistant,24,Female,Swat,July,30,22,8,40000,3000,1500,41500,73.33333333333333,1383.3333333333333,30433.333333333332
3,Employee_3,Sales,Executive,25,Male,Islamabad,July,30,23,7,45000,3500,1750,46750,76.66666666666667,1558.3333333333333,35841.666666666664
4,Employee_4,Marketing,Analyst,26,Female,Lahore,July,30,24,6,50000,4000,1000,53000,80.0,1766.6666666666667,42400.0
5,Employee_5,HR,Manager,27,Male,Peshawar,July,30,25,5,55000,2000,1250,55750,83.33333333333334,1858.3333333333333,46458.33333333333
6,Employee_6,IT,Officer,28,Female,Mardan,July,30,26,4,60000,2500,1500,61000,86.66666666666667,2033.3333333333333,52866.666666666664
7,Employee_7,Finance,Assistant,29,Male,Swat,July,30,27,3,65000,3000,1750,66250,90.0,2208.3333333333335,59625.00000000001
8,Employee_8,Sales,Executive,30,Female,Islamabad,July,30,28,2,70000,3500,1000,72500,93.33333333333333,2416.6666666666665,67666.66666666666
9,Employee_9,Marketing,Analyst,31,Male,Lahore,July,30,29,1,75000,4000,1250,77750,96.66666666666667,2591.6666666666665,75158.33333333333
10,Employee_10,HR,Manager,32,Female,Peshawar,July,30,30,0,30000,2000,1500,30500,100.0,1016.6666666666666,30500.0
11,Employee_11,IT,Officer,33,Male,Mardan,July,30,20,10,35000,2500,1750,35750,66.66666666666666,1191.6666666666667,23833.333333333336
12,Employee_12,Finance,Assistant,34,Female,Swat,July,30,21,9,40000,3000,1000,42000,70.0,1400.0,29400.0
13,Employee_13,Sales,Executive,35,Male,Islamabad,July,30,22,8,45000,3500,1250,47250,73.33333333333333,1575.0,34650.0
14,Employee_14,Marketing,Analyst,36,Female,Lahore,July,30,23,7,50000,4000,1500,52500,76.66666666666667,1750.0,40250.0
15,Employee_15,HR,Manager,37,Male,Peshawar,July,30,24,6,55000,2000,1750,55250,80.0,1841.6666666666667,44200.0
16,Employee_16,IT,Officer,38,Female,Mardan,July,30,25,5,60000,2500,1000,61500,83.33333333333334,2050.0,51250.0
17,Employee_17,Finance,Assistant,39,Male,Swat,July,30,26,4,65000,3000,1250,66750,86.66666666666667,2225.0,57850.0
18,Employee_18,Sales,Executive,40,Female,Islamabad,July,30,27,3,70000,3500,1500,72000,90.0,2400.0,64800.0
19,Employee_19,Marketing,Analyst,41,Male,Lahore,July,30,28,2,75000,4000,1750,77250,93.33333333333333,2575.0,72100.0
20,Employee_20,HR,Manager,42,Female,Peshawar,July,30,29,1,30000,2000,1000,31000,96.66666666666667,1033.3333333333333,29966.666666666664
21,Employee_21,IT,Officer,43,Male,Mardan,July,30,30,0,35000,2500,1250,36250,100.0,1208.3333333333333,36250.0
22,Employee_22,Finance,Assistant,44,Female,Swat,July,30,20,10,40000,3000,1500,41500,66.66666666666666,1383.3333333333333,27666.666666666664
23,Employee_23,Sales,Executive,45,Male,Islamabad,July,30,21,9,45000,3500,1750,46750,70.0,1558.3333333333333,32725.0
24,Employee_24,Marketing,Analyst,22,Female,Lahore,July,30,22,8,50000,4000,1000,53000,73.33333333333333,1766.6666666666667,38866.66666666667
25,Employee_25,HR,Manager,23,Male,Peshawar,July,30,23,7,55000,2000,1250,55750,76.66666666666667,1858.3333333333333,42741.666666666664
26,Employee_26,IT,Officer,24,Female,Mardan,July,30,24,6,60000,2500,1500,61000,80.0,2033.3333333333333,48800.0
27,Employee_27,Finance,Assistant,25,Male,Swat,July,30,25,5,65000,3000,1750,66250,83.33333333333334,2208.3333333333335,55208.333333333336
28,Employee_28,Sales,Executive,26,Female,Islamabad,July,30,26,4,70000,3500,1000,72500,86.66666666666667,2416.6666666666665,62833.33333333333
29,Employee_29,Marketing,Analyst,27,Male,Lahore,July,30,27,3,75000,4000,1250,77750,90.0,2591.6666666666665,69975.0
30,Employee_30,HR,Manager,28,Female,Peshawar,July,30,28,2,30000,2000,1500,30500,93.33333333333333,1016.6666666666666,28466.666666666664
31,Employee_31,IT,Officer,29,Male,Mardan,July,30,29,1,35000,2500,1750,35750,96.66666666666667,1191.6666666666667,34558.333333333336
32,Employee_32,Finance,Assistant,30,Female,Swat,July,30,30,0,40000,3000,1000,42000,100.0,1400.0,42000.0
