EmployeeID,Month,WorkingDays,PresentDays,AbsentDays
1,July,30,21,9
2,July,30,22,8
3,July,30,23,7
4,July,30,24,6
5,July,30,25,5
6,July,30,26,4
7,July,30,27,3
8,July,30,28,2
9,July,30,29,1
10,July,30,30,0
11,July,30,20,10
12,July,30,21,9
13,July,30,22,8
14,July,30,23,7
15,July,30,24,6
16,July,30,25,5
17,July,30,26,4
18,July,30,27,3
19,July,30,28,2
20,July,30,29,1
21,July,30,30,0
22,July,30,20,10
23,July,30,21,9
24,July,30,22,8
25,July,30,23,7
26,July,30,24,6
27,July,30,25,5
28,July,30,26,4
29,July,30,27,3
30,July,30,28,2
31,July,30,29,1
32,July,30,30,0
33,July,30,20,10
34,July,30,21,9
35,July,30,22,8
36,July,30,23,7
37,July,30,24,6
38,July,30,25,5
39,July,30,26,4
40,July,30,27,3
41,July,30,28,2
42,July,30,29,1
43,July,30,30,0
44,July,30,20,10
45,July,30,21,9
46,July,30,22,8
47,July,30,23,7
48,July,30,24,6
49,July,30,25,5
50,July,30,26,4
51,July,30,27,3
52,July,30,28,2
53,July,30,29,1
54,July,30,30,0
55,July,30,20,10
56,July,30,21,9
57,July,30,22,8
58,July,30,23,7
59,July,30,24,6
60,July,30,25,5
61,July,30,26,4
62,July,30,27,3
63,July,30,28,2
64,July,30,29,1
65,July,30,30,0
66,July,30,20,10
67,July,30,21,9
68,July,30,22,8
69,July,30,23,7
70,July,30,24,6
71,July,30,25,5
72,July,30,26,4
73,July,30,27,3
74,July,30,28,2
75,July,30,29,1
76,July,30,30,0
77,July,30,20,10
78,July,30,21,9
79,July,30,22,8
80,July,30,23,7
81,July,30,24,6
82,July,30,25,5
83,July,30,26,4
84,July,30,27,3
85,July,30,28,2
86,July,30,29,1
87,July,30,30,0
88,July,30,20,10
89,July,30,21,9
90,July,30,22,8
91,July,30,23,7
92,July,30,24,6
93,July,30,25,5
94,July,30,26,4
95,July,30,27,3
96,July,30,28,2
97,July,30,29,1
98,July,30,30,0
99,July,30,20,10
100,July,30,21,9
101,July,30,22,8
102,July,30,23,7
103,July,30,24,6
104,July,30,25,5
105,July,30,26,4
106,July,30,27,3
107,July,30,28,2
108,July,30,29,1
109,July,30,30,0
110,July,30,20,10
111,July,30,21,9
112,July,30,22,8
113,July,30,23,7
114,July,30,24,6
115,July,30,25,5
116,July,30,26,4
117,July,30,27,3
118,July,30,28,2
119,July,30,29,1
120,July,30,30,0
121,July,30,20,10
122,July,30,21,9
123,July,30,22,8
124,July,30,23,7
125,July,30,24,6
126,July,30,25,5
127,July,30,26,4
128,July,30,27,3
129,July,30,28,2
130,July,30,29,1
131,July,30,30,0
132,July,30,20,10
133,July,30,21,9
134,July,30,22,8
135,July,30,23,7
136,July,30,24,6
137,July,30,25,5
138,July,30,26,4
139,July,30,27,3
140,July,30,28,2
141,July,30,29,1
142,July,30,30,0
143,July,30,20,10
144,July,30,21,9
145,July,30,22,8
146,July,30,23,7
147,July,30,24,6
148,July,30,25,5
149,July,30,26,4
150,July,30,27,3
