EmployeeID,BasicSalary,Allowance,Deduction,NetSalary
1,35000,2500,1250,36250
2,40000,3000,1500,41500
3,45000,3500,1750,46750
4,50000,4000,1000,53000
5,55000,2000,1250,55750
6,60000,2500,1500,61000
7,65000,3000,1750,66250
8,70000,3500,1000,72500
9,75000,4000,1250,77750
10,30000,2000,1500,30500
11,35000,2500,1750,35750
12,40000,3000,1000,42000
13,45000,3500,1250,47250
14,50000,4000,1500,52500
15,55000,2000,1750,55250
16,60000,2500,1000,61500
17,65000,3000,1250,66750
18,70000,3500,1500,72000
19,75000,4000,1750,77250
20,30000,2000,1000,31000
21,35000,2500,1250,36250
22,40000,3000,1500,41500
23,45000,3500,1750,46750
24,50000,4000,1000,53000
25,55000,2000,1250,55750
26,60000,2500,1500,61000
27,65000,3000,1750,66250
28,70000,3500,1000,72500
29,75000,4000,1250,77750
30,30000,2000,1500,30500
31,35000,2500,1750,35750
32,40000,3000,1000,42000
33,45000,3500,1250,47250
34,50000,4000,1500,52500
35,55000,2000,1750,55250
36,60000,2500,1000,61500
37,65000,3000,1250,66750
38,70000,3500,1500,72000
39,75000,4000,1750,77250
40,30000,2000,1000,31000
41,35000,2500,1250,36250
42,40000,3000,1500,41500
43,45000,3500,1750,46750
44,50000,4000,1000,53000
45,55000,2000,1250,55750
46,60000,2500,1500,61000
47,65000,3000,1750,66250
48,70000,3500,1000,72500
49,75000,4000,1250,77750
50,30000,2000,1500,30500
51,35000,2500,1750,35750
52,40000,3000,1000,42000
53,45000,3500,1250,47250
54,50000,4000,1500,52500
55,55000,2000,1750,55250
56,60000,2500,1000,61500
57,65000,3000,1250,66750
58,70000,3500,1500,72000
59,75000,4000,1750,77250
60,30000,2000,1000,31000
61,35000,2500,1250,36250
62,40000,3000,1500,41500
63,45000,3500,1750,46750
64,50000,4000,1000,53000
65,55000,2000,1250,55750
66,60000,2500,1500,61000
67,65000,3000,1750,66250
68,70000,3500,1000,72500
69,75000,4000,1250,77750
70,30000,2000,1500,30500
71,35000,2500,1750,35750
72,40000,3000,1000,42000
73,45000,3500,1250,47250
74,50000,4000,1500,52500
75,55000,2000,1750,55250
76,60000,2500,1000,61500
77,65000,3000,1250,66750
78,70000,3500,1500,72000
79,75000,4000,1750,77250
80,30000,2000,1000,31000
81,35000,2500,1250,36250
82,40000,3000,1500,41500
83,45000,3500,1750,46750
84,50000,4000,1000,53000
85,55000,2000,1250,55750
86,60000,2500,1500,61000
87,65000,3000,1750,66250
88,70000,3500,1000,72500
89,75000,4000,1250,77750
90,30000,2000,1500,30500
91,35000,2500,1750,35750
92,40000,3000,1000,42000
93,45000,3500,1250,47250
94,50000,4000,1500,52500
95,55000,2000,1750,55250
96,60000,2500,1000,61500
97,65000,3000,1250,66750
98,70000,3500,1500,72000
99,75000,4000,1750,77250
100,30000,2000,1000,31000
101,35000,2500,1250,36250
102,40000,3000,1500,41500
103,45000,3500,1750,46750
104,50000,4000,1000,53000
105,55000,2000,1250,55750
106,60000,2500,1500,61000
107,65000,3000,1750,66250
108,70000,3500,1000,72500
109,75000,4000,1250,77750
110,30000,2000,1500,30500
111,35000,2500,1750,35750
112,40000,3000,1000,42000
113,45000,3500,1250,47250
114,50000,4000,1500,52500
115,55000,2000,1750,55250
116,60000,2500,1000,61500
117,65000,3000,1250,66750
118,70000,3500,1500,72000
119,75000,4000,1750,77250
120,30000,2000,1000,31000
121,35000,2500,1250,36250
122,40000,3000,1500,41500
123,45000,3500,1750,46750
124,50000,4000,1000,53000
125,55000,2000,1250,55750
126,60000,2500,1500,61000
127,65000,3000,1750,66250
128,70000,3500,1000,72500
129,75000,4000,1250,77750
130,30000,2000,1500,30500
131,35000,2500,1750,35750
132,40000,3000,1000,42000
133,45000,3500,1250,47250
134,50000,4000,1500,52500
135,55000,2000,1750,55250
136,60000,2500,1000,61500
137,65000,3000,1250,66750
138,70000,3500,1500,72000
139,75000,4000,1750,77250
140,30000,2000,1000,31000
141,35000,2500,1250,36250
142,40000,3000,1500,41500
143,45000,3500,1750,46750
144,50000,4000,1000,53000
145,55000,2000,1250,55750
146,60000,2500,1500,61000
147,65000,3000,1750,66250
148,70000,3500,1000,72500
149,75000,4000,1250,77750
150,30000,2000,1500,30500
151,35000,2500,1750,35750
152,40000,3000,1000,42000
153,45000,3500,1250,47250
154,50000,4000,1500,52500
155,55000,2000,1750,55250
156,60000,2500,1000,61500
157,65000,3000,1250,66750
158,70000,3500,1500,72000
159,75000,4000,1750,77250
160,30000,2000,1000,31000
161,35000,2500,1250,36250
162,40000,3000,1500,41500
163,45000,3500,1750,46750
164,50000,4000,1000,53000
165,55000,2000,1250,55750
166,60000,2500,1500,61000
167,65000,3000,1750,66250
168,70000,3500,1000,72500
169,75000,4000,1250,77750
170,30000,2000,1500,30500
171,35000,2500,1750,35750
172,40000,3000,1000,42000
173,45000,3500,1250,47250
174,50000,4000,1500,52500
175,55000,2000,1750,55250
176,60000,2500,1000,61500
177,65000,3000,1250,66750
178,70000,3500,1500,72000
179,75000,4000,1750,77250
180,30000,2000,1000,31000
181,35000,2500,1250,36250
182,40000,3000,1500,41500
183,45000,3500,1750,46750
184,50000,4000,1000,53000
185,55000,2000,1250,55750
186,60000,2500,1500,61000
187,65000,3000,1750,66250
188,70000,3500,1000,72500
189,75000,4000,1250,77750
