OrderID,CustomerID,ProductID,OrderDate,Quantity,PaymentMethod,Status
1,274,320,2025-11-01,1,Cash,Completed
2,11,25,2025-08-02,1,Wallet,Completed
3,243,360,2025-04-16,2,Cash,Completed
4,340,267,2025-11-15,3,Card,Completed
5,317,61,2025-02-28,3,Cash,Completed
6,399,135,2025-04-14,5,Bank,Completed
7,21,281,2025-04-17,4,Wallet,Completed
8,77,487,2025-09-19,1,Cash,Completed
9,330,119,2025-06-01,4,Bank,Completed
10,185,411,2025-08-07,3,Cash,Completed
11,184,458,2025-11-15,4,Bank,Completed
12,176,94,2025-07-25,1,Wallet,Completed
13,354,436,2025-08-04,4,Card,Completed
14,31,483,2025-02-23,2,Wallet,Completed
15,348,225,2025-11-09,2,Wallet,Completed
16,451,430,2025-09-05,2,Wallet,Completed
17,33,134,2025-01-07,3,Card,Completed
18,353,359,2025-02-18,5,Wallet,Completed
19,340,347,2025-03-18,4,Cash,Completed
20,241,437,2025-03-26,4,Cash,Completed
21,282,330,2025-07-26,4,Card,Completed
22,294,230,2025-09-13,1,Wallet,Completed
23,382,335,2025-02-22,1,Wallet,Completed
24,1,423,2025-11-06,1,Bank,Completed
25,423,28,2025-08-21,2,Bank,Completed
26,187,367,2025-02-28,4,Cash,Completed
27,360,55,2025-03-26,1,Wallet,Completed
28,477,437,2025-04-21,4,Wallet,Completed
29,235,338,2025-09-16,5,Card,Completed
30,25,284,2025-10-27,4,Wallet,Completed
31,89,375,2025-02-23,2,Wallet,Completed
32,197,215,2025-12-21,5,Card,Completed
33,497,151,2025-03-10,4,Card,Completed
34,360,281,2025-12-31,3,Card,Completed
35,149,352,2025-12-11,3,Card,Completed
36,356,327,2025-12-30,3,Cash,Completed
37,293,483,2025-12-12,4,Bank,Completed
38,13,196,2025-01-28,2,Cash,Completed
39,83,147,2025-03-16,3,Cash,Completed
40,53,316,2025-04-25,5,Wallet,Completed
41,409,357,2025-12-21,3,Cash,Completed
42,404,500,2025-10-10,3,Cash,Completed
43,467,325,2025-10-29,3,Card,Completed
44,91,350,2025-04-06,1,Card,Completed
45,67,83,2025-05-11,5,Cash,Completed
46,80,21,2025-06-15,2,Cash,Completed
47,294,282,2025-02-07,3,Bank,Completed
48,267,35,2025-03-23,5,Wallet,Completed
49,179,114,2025-12-06,2,Bank,Completed
50,487,386,2025-09-29,5,Wallet,Completed
51,491,21,2025-07-15,3,Cash,Completed
52,145,13,2025-07-11,5,Wallet,Completed
53,334,99,2025-09-21,3,Cash,Completed
54,396,276,2025-01-04,5,Cash,Completed
55,218,428,2025-04-16,1,Wallet,Completed
56,79,13,2025-06-19,4,Cash,Completed
57,467,133,2025-07-18,4,Wallet,Completed
58,9,200,2025-10-01,1,Cash,Completed
59,300,24,2025-07-03,1,Cash,Completed
60,145,392,2025-07-15,4,Wallet,Completed
61,274,113,2025-07-20,2,Bank,Completed
62,455,469,2025-01-06,3,Card,Completed
63,108,384,2025-04-19,3,Wallet,Completed
64,59,93,2025-01-28,5,Wallet,Completed
65,102,372,2025-09-07,5,Bank,Completed
66,121,52,2025-11-14,3,Cash,Completed
67,169,316,2025-12-22,3,Card,Completed
68,491,220,2025-01-03,2,Bank,Completed
69,329,224,2025-07-04,3,Card,Completed
70,237,229,2025-06-06,3,Wallet,Completed
71,457,276,2025-05-15,2,Cash,Completed
72,435,260,2025-10-25,1,Wallet,Completed
73,283,134,2025-10-04,5,Wallet,Completed
74,115,457,2025-05-29,5,Card,Completed
75,204,187,2025-01-06,5,Card,Completed
76,72,229,2025-04-02,2,Card,Completed
77,21,113,2025-04-29,4,Cash,Completed
78,241,470,2025-01-24,4,Cash,Completed
79,297,279,2025-03-31,5,Wallet,Completed
80,335,460,2025-09-22,1,Bank,Completed
81,181,419,2025-09-07,3,Wallet,Completed
82,72,226,2025-04-28,2,Cash,Completed
83,339,118,2025-06-19,4,Cash,Completed
84,303,83,2025-01-12,4,Card,Completed
85,83,69,2025-01-21,5,Card,Completed
86,93,265,2025-11-03,4,Cash,Completed
87,111,230,2025-08-30,5,Wallet,Completed
88,308,74,2025-04-04,5,Bank,Completed
89,306,303,2025-04-28,1,Wallet,Completed
90,311,50,2025-09-01,2,Cash,Completed
91,48,247,2025-11-05,2,Cash,Completed
92,190,448,2025-12-24,1,Wallet,Completed
93,196,180,2025-12-23,5,Cash,Completed
94,393,120,2025-05-26,1,Wallet,Completed
95,267,4,2025-12-02,4,Card,Completed
96,55,80,2025-11-30,4,Bank,Completed
97,188,314,2025-12-15,3,Wallet,Completed
98,286,248,2025-07-09,2,Wallet,Completed
99,397,362,2025-03-12,4,Cash,Completed
100,359,487,2025-02-21,2,Card,Completed
101,411,282,2025-12-23,5,Cash,Completed
102,3,412,2025-03-16,1,Wallet,Completed
103,312,20,2025-07-25,4,Bank,Completed
104,420,90,2025-08-13,4,Cash,Completed
105,18,402,2025-09-19,5,Card,Completed
106,185,123,2025-03-22,1,Cash,Completed
107,203,208,2025-04-13,5,Cash,Completed
108,282,146,2025-10-26,5,Bank,Completed
109,295,3,2025-03-31,3,Wallet,Completed
110,258,151,2025-03-01,3,Bank,Completed
111,495,194,2025-09-05,5,Card,Completed
112,460,301,2025-09-04,1,Cash,Completed
113,404,113,2025-06-11,2,Wallet,Completed
114,359,427,2025-05-08,3,Bank,Completed
115,421,176,2025-10-11,1,Card,Completed
116,458,294,2025-04-04,3,Card,Completed
117,118,104,2025-11-13,2,Bank,Completed
118,392,439,2025-01-22,5,Wallet,Completed
119,452,460,2025-05-21,5,Wallet,Completed
120,114,385,2025-03-07,5,Cash,Completed
121,277,17,2025-06-27,5,Wallet,Completed
122,62,358,2025-08-24,5,Bank,Completed
123,186,314,2025-04-06,3,Bank,Completed
124,314,176,2025-04-05,3,Wallet,Completed
125,386,191,2025-07-25,3,Bank,Completed
126,295,352,2025-02-21,2,Bank,Completed
127,196,101,2025-03-18,2,Wallet,Completed
128,69,458,2025-10-01,5,Bank,Completed
129,440,291,2025-07-23,1,Cash,Completed
130,231,382,2025-05-14,3,Bank,Completed
131,415,132,2025-01-11,3,Wallet,Completed
132,494,311,2025-10-23,2,Card,Completed
133,262,250,2025-02-10,4,Wallet,Completed
134,490,75,2025-11-24,2,Bank,Completed
135,37,41,2025-06-25,2,Card,Completed
136,364,137,2025-11-27,5,Wallet,Completed
137,481,186,2025-09-24,5,Wallet,Completed
138,482,381,2025-04-18,1,Card,Completed
139,14,395,2025-09-26,4,Cash,Completed
140,44,336,2025-06-08,4,Card,Completed
141,65,68,2025-03-29,5,Cash,Completed
142,167,443,2025-08-28,4,Bank,Completed
143,324,384,2025-08-11,5,Bank,Completed
144,413,46,2025-06-07,4,Bank,Completed
145,147,241,2025-01-05,5,Wallet,Completed
146,408,4,2025-07-11,5,Card,Completed
147,128,84,2025-07-13,4,Card,Completed
148,123,265,2025-12-22,5,Bank,Completed
149,212,97,2025-04-04,1,Card,Completed
150,317,232,2025-12-25,3,Wallet,Completed
151,498,53,2025-05-18,3,Card,Completed
152,120,47,2025-01-08,2,Wallet,Completed
