ProductID,ProductName,Category,Brand,CostPrice,SellingPrice,Stock
1,Product 1,Home,Nova,481,642,211
2,Product 2,Home,Max,320,514,182
3,Product 3,Books,Eco,264,399,372
4,Product 4,Sports,Alpha,293,374,198
5,Product 5,Electronics,Eco,174,351,308
6,Product 6,Electronics,Max,162,352,252
7,Product 7,Books,Max,140,312,126
8,Product 8,Books,Eco,374,392,97
9,Product 9,Books,Eco,273,439,85
10,Product 10,Clothing,Alpha,425,604,303
11,Product 11,Electronics,Nova,490,674,19
12,Product 12,Sports,Nova,230,315,221
13,Product 13,Sports,Max,358,415,406
14,Product 14,Electronics,Nova,318,443,275
15,Product 15,Home,Eco,111,259,279
16,Product 16,Clothing,Eco,197,282,477
17,Product 17,Books,Prime,277,369,356
18,Product 18,Home,Max,400,589,257
19,Product 19,Home,Max,103,171,162
20,Product 20,Home,Nova,120,201,363
21,Product 21,Home,Eco,365,495,188
22,Product 22,Home,Prime,291,480,72
23,Product 23,Books,Eco,298,476,468
24,Product 24,Clothing,Prime,207,300,31
25,Product 25,Electronics,Prime,152,339,483
26,Product 26,Home,Eco,231,403,119
27,Product 27,Home,Max,108,250,366
28,Product 28,Electronics,Max,144,184,389
29,Product 29,Clothing,Alpha,305,371,352
30,Product 30,Clothing,Nova,468,608,36
31,Product 31,Home,Eco,56,166,61
32,Product 32,Electronics,Max,353,393,485
33,Product 33,Sports,Eco,85,194,343
34,Product 34,Home,Prime,107,305,156
35,Product 35,Electronics,Max,335,355,128
36,Product 36,Electronics,Nova,278,472,223
37,Product 37,Electronics,Eco,456,506,413
38,Product 38,Home,Alpha,258,310,14
39,Product 39,Books,Alpha,157,307,485
40,Product 40,Sports,Max,176,253,278
41,Product 41,Books,Eco,257,296,149
42,Product 42,Home,Nova,103,136,384
43,Product 43,Home,Nova,239,409,17
44,Product 44,Home,Max,382,473,355
45,Product 45,Clothing,Max,392,446,448
46,Product 46,Sports,Max,332,440,177
47,Product 47,Electronics,Nova,49,156,81
48,Product 48,Clothing,Alpha,249,336,143
49,Product 49,Sports,Prime,201,266,498
50,Product 50,Books,Max,173,255,15
51,Product 51,Home,Nova,138,310,41
52,Product 52,Sports,Prime,346,381,91
53,Product 53,Books,Prime,212,392,363
54,Product 54,Home,Prime,65,233,324
55,Product 55,Clothing,Eco,118,179,88
56,Product 56,Books,Prime,237,433,222
57,Product 57,Sports,Max,364,509,420
58,Product 58,Clothing,Max,345,405,457
59,Product 59,Books,Eco,408,433,280
60,Product 60,Electronics,Max,365,462,67
61,Product 61,Books,Nova,36,181,303
62,Product 62,Clothing,Prime,279,322,447
63,Product 63,Electronics,Nova,271,389,377
64,Product 64,Electronics,Max,303,433,238
65,Product 65,Sports,Nova,419,438,272
66,Product 66,Books,Alpha,217,338,296
67,Product 67,Home,Alpha,241,418,212
68,Product 68,Clothing,Max,135,140,47
69,Product 69,Home,Alpha,28,141,287
70,Product 70,Sports,Alpha,35,57,156
71,Product 71,Clothing,Eco,214,265,201
72,Product 72,Sports,Eco,461,563,202
73,Product 73,Books,Nova,46,225,344
74,Product 74,Electronics,Nova,445,539,285
75,Product 75,Clothing,Nova,206,346,437
76,Product 76,Electronics,Prime,6,204,247
77,Product 77,Books,Eco,349,538,282
78,Product 78,Clothing,Eco,199,262,187
79,Product 79,Clothing,Alpha,84,159,26
80,Product 80,Sports,Max,419,593,402
81,Product 81,Clothing,Nova,484,493,44
82,Product 82,Electronics,Eco,56,213,316
83,Product 83,Electronics,Nova,349,534,389
84,Product 84,Sports,Nova,27,134,286
85,Product 85,Electronics,Nova,116,314,267
86,Product 86,Books,Prime,153,217,305
87,Product 87,Home,Nova,311,488,164
88,Product 88,Books,Nova,453,494,221
89,Product 89,Electronics,Max,158,233,495
90,Product 90,Clothing,Eco,307,500,294
91,Product 91,Home,Eco,258,275,412
92,Product 92,Sports,Eco,273,359,86
93,Product 93,Clothing,Max,158,259,252
94,Product 94,Home,Nova,128,190,422
95,Product 95,Books,Eco,242,261,223
96,Product 96,Clothing,Eco,290,430,134
97,Product 97,Home,Alpha,135,192,482
98,Product 98,Electronics,Max,235,334,380
99,Product 99,Electronics,Prime,429,482,203
100,Product 100,Books,Alpha,349,508,457
101,Product 101,Books,Max,42,95,121
102,Product 102,Home,Prime,250,308,499
103,Product 103,Clothing,Nova,470,478,389
104,Product 104,Sports,Nova,65,261,366
105,Product 105,Clothing,Eco,314,499,478
106,Product 106,Home,Prime,127,273,204
107,Product 107,Home,Prime,243,384,143
108,Product 108,Sports,Eco,189,325,60
109,Product 109,Sports,Prime,416,605,478
110,Product 110,Home,Eco,109,208,33
111,Product 111,Clothing,Alpha,293,354,143
112,Product 112,Books,Eco,288,442,161
113,Product 113,Home,Nova,83,138,204
114,Product 114,Sports,Max,296,363,345
115,Product 115,Home,Prime,488,668,400
116,Product 116,Sports,Eco,425,555,96
117,Product 117,Clothing,Nova,380,475,378
118,Product 118,Clothing,Max,284,414,338
119,Product 119,Books,Alpha,495,515,439
120,Product 120,Electronics,Alpha,438,462,221
121,Product 121,Clothing,Alpha,75,241,372
122,Product 122,Clothing,Max,82,89,243
123,Product 123,Books,Max,196,216,477
124,Product 124,Sports,Alpha,252,425,13
125,Product 125,Sports,Alpha,277,423,18
126,Product 126,Home,Max,276,465,156
127,Product 127,Sports,Nova,13,146,64
128,Product 128,Books,Nova,475,504,133
129,Product 129,Books,Prime,103,266,427
130,Product 130,Sports,Alpha,186,259,201
131,Product 131,Sports,Max,496,604,134
132,Product 132,Home,Alpha,361,423,344
133,Product 133,Electronics,Alpha,444,615,217
134,Product 134,Books,Eco,199,300,38
135,Product 135,Clothing,Alpha,331,338,265
136,Product 136,Home,Max,437,553,449
137,Product 137,Electronics,Nova,53,193,118
138,Product 138,Books,Eco,466,648,148
139,Product 139,Home,Max,28,52,298
140,Product 140,Clothing,Prime,341,354,18
141,Product 141,Books,Nova,497,555,395
142,Product 142,Sports,Alpha,425,612,163
143,Product 143,Clothing,Max,88,237,437
144,Product 144,Books,Prime,439,543,206
145,Product 145,Clothing,Alpha,391,585,266
146,Product 146,Electronics,Alpha,386,479,233
147,Product 147,Home,Max,123,147,403
148,Product 148,Sports,Prime,319,476,25
149,Product 149,Sports,Eco,329,403,126
150,Product 150,Sports,Eco,187,333,105
151,Product 151,Sports,Alpha,353,507,405
152,Product 152,Clothing,Alpha,321,401,52
153,Product 153,Sports,Nova,142,186,388
154,Product 154,Home,Alpha,204,290,56
155,Product 155,Sports,Prime,7,90,399
156,Product 156,Clothing,Alpha,143,174,105
157,Product 157,Books,Max,225,344,272
158,Product 158,Electronics,Alpha,213,244,191
159,Product 159,Books,Max,288,316,411
160,Product 160,Electronics,Prime,171,274,221
161,Product 161,Books,Nova,203,229,302
162,Product 162,Sports,Nova,271,319,81
163,Product 163,Home,Eco,142,224,84
164,Product 164,Sports,Prime,37,84,225
165,Product 165,Electronics,Prime,158,286,138
166,Product 166,Sports,Max,488,556,325
167,Product 167,Electronics,Nova,105,227,165
168,Product 168,Home,Max,8,114,204
169,Product 169,Sports,Prime,416,505,230
170,Product 170,Books,Nova,422,593,163
171,Product 171,Clothing,Eco,169,328,170
172,Product 172,Home,Prime,95,201,386
173,Product 173,Sports,Max,360,527,410
174,Product 174,Sports,Prime,129,217,428
175,Product 175,Home,Alpha,407,512,487
176,Product 176,Books,Max,293,349,102
177,Product 177,Electronics,Eco,354,499,492
178,Product 178,Sports,Prime,367,425,435
179,Product 179,Sports,Eco,359,381,81
180,Product 180,Clothing,Prime,329,411,347
181,Product 181,Sports,Eco,83,271,47
182,Product 182,Sports,Max,234,392,215
183,Product 183,Sports,Max,278,412,28
184,Product 184,Books,Max,409,506,336
185,Product 185,Electronics,Nova,473,499,346
186,Product 186,Clothing,Max,345,440,32
187,Product 187,Sports,Prime,293,463,417
188,Product 188,Electronics,Alpha,225,257,142
189,Product 189,Books,Max,118,253,307
190,Product 190,Clothing,Eco,357,509,201
191,Product 191,Books,Max,205,328,87
192,Product 192,Sports,Alpha,181,192,161
193,Product 193,Electronics,Nova,217,243,188
194,Product 194,Sports,Nova,164,256,276
195,Product 195,Sports,Alpha,252,346,234
196,Product 196,Sports,Prime,374,557,44
197,Product 197,Electronics,Alpha,158,174,444
198,Product 198,Electronics,Nova,180,350,486
199,Product 199,Books,Nova,384,451,292
200,Product 200,Books,Eco,86,175,500
201,Product 201,Sports,Nova,241,305,105
202,Product 202,Sports,Eco,332,505,24
203,Product 203,Clothing,Eco,382,544,313
204,Product 204,Electronics,Nova,224,328,115
205,Product 205,Electronics,Max,147,344,62
206,Product 206,Clothing,Prime,414,556,176
207,Product 207,Electronics,Prime,105,227,353
208,Product 208,Books,Prime,446,576,315
209,Product 209,Sports,Max,203,364,68
210,Product 210,Sports,Max,183,278,98
211,Product 211,Home,Max,421,598,312
212,Product 212,Clothing,Prime,48,225,70
213,Product 213,Electronics,Nova,127,210,201
214,Product 214,Books,Eco,360,401,224
215,Product 215,Books,Eco,310,350,226
216,Product 216,Books,Nova,100,229,294
217,Product 217,Home,Nova,90,220,105
218,Product 218,Books,Alpha,166,286,453
219,Product 219,Sports,Nova,188,195,109
220,Product 220,Books,Max,422,525,344
221,Product 221,Sports,Eco,258,367,373
222,Product 222,Sports,Nova,435,553,52
223,Product 223,Clothing,Prime,294,306,26
224,Product 224,Books,Prime,145,207,96
225,Product 225,Books,Eco,404,526,291
226,Product 226,Books,Alpha,266,299,147
227,Product 227,Home,Max,401,545,431
228,Product 228,Sports,Max,392,407,121
229,Product 229,Clothing,Prime,222,253,457
230,Product 230,Home,Prime,21,141,451
231,Product 231,Sports,Alpha,423,450,407
232,Product 232,Clothing,Max,420,485,362
233,Product 233,Books,Eco,184,370,94
234,Product 234,Clothing,Nova,320,360,422
235,Product 235,Home,Max,35,185,153
236,Product 236,Clothing,Prime,310,452,370
237,Product 237,Books,Prime,154,233,497
238,Product 238,Electronics,Nova,444,580,394
239,Product 239,Electronics,Prime,407,517,453
240,Product 240,Clothing,Nova,340,377,84
241,Product 241,Clothing,Eco,369,456,260
242,Product 242,Home,Eco,77,229,202
243,Product 243,Electronics,Eco,236,260,273
244,Product 244,Home,Eco,388,464,496
245,Product 245,Books,Alpha,254,342,454
246,Product 246,Electronics,Eco,401,593,335
247,Product 247,Home,Alpha,345,528,417
248,Product 248,Clothing,Eco,278,384,432
249,Product 249,Home,Prime,113,244,434
250,Product 250,Books,Max,150,241,76
251,Product 251,Home,Alpha,294,423,33
252,Product 252,Sports,Alpha,55,220,73
253,Product 253,Sports,Eco,480,525,10
254,Product 254,Clothing,Nova,495,609,461
255,Product 255,Clothing,Prime,337,419,57
256,Product 256,Home,Alpha,340,437,200
257,Product 257,Clothing,Alpha,345,516,212
258,Product 258,Clothing,Eco,325,408,345
259,Product 259,Electronics,Alpha,51,236,119
260,Product 260,Clothing,Max,249,273,125
261,Product 261,Sports,Alpha,270,449,14
262,Product 262,Electronics,Eco,361,453,365
263,Product 263,Electronics,Nova,72,199,206
264,Product 264,Electronics,Alpha,50,242,170
265,Product 265,Clothing,Eco,193,274,406
266,Product 266,Clothing,Nova,421,618,45
267,Product 267,Electronics,Max,276,425,342
268,Product 268,Home,Nova,89,206,331
269,Product 269,Sports,Max,388,431,361
270,Product 270,Electronics,Alpha,231,291,81
271,Product 271,Books,Eco,390,426,189
272,Product 272,Home,Nova,498,612,136
273,Product 273,Electronics,Nova,146,316,293
274,Product 274,Books,Prime,312,470,408
275,Product 275,Electronics,Prime,486,667,115
276,Product 276,Books,Nova,270,430,392
277,Product 277,Electronics,Nova,205,285,263
278,Product 278,Clothing,Eco,202,235,336
279,Product 279,Books,Alpha,309,332,194
280,Product 280,Clothing,Eco,483,569,450
281,Product 281,Sports,Prime,434,584,289
282,Product 282,Sports,Alpha,354,403,18
283,Product 283,Electronics,Prime,305,327,120
284,Product 284,Sports,Max,25,45,156
285,Product 285,Books,Eco,326,513,226
286,Product 286,Electronics,Max,364,471,285
287,Product 287,Home,Alpha,320,364,168
288,Product 288,Clothing,Nova,45,180,284
289,Product 289,Books,Alpha,172,277,168
290,Product 290,Clothing,Alpha,362,478,135
291,Product 291,Electronics,Eco,49,165,323
292,Product 292,Home,Nova,316,335,71
293,Product 293,Clothing,Alpha,11,197,93
294,Product 294,Books,Max,259,352,410
295,Product 295,Home,Nova,426,615,200
296,Product 296,Home,Alpha,69,265,404
297,Product 297,Home,Eco,465,477,149
298,Product 298,Home,Max,273,294,331
299,Product 299,Sports,Max,44,176,194
300,Product 300,Books,Nova,33,165,198
301,Product 301,Electronics,Max,85,155,355
302,Product 302,Clothing,Max,375,409,11
303,Product 303,Clothing,Alpha,27,35,251
304,Product 304,Clothing,Nova,191,294,486
305,Product 305,Books,Eco,496,510,124
306,Product 306,Sports,Prime,169,237,148
307,Product 307,Books,Prime,427,451,71
308,Product 308,Electronics,Nova,262,439,124
309,Product 309,Electronics,Eco,416,553,45
310,Product 310,Home,Prime,454,578,177
311,Product 311,Sports,Alpha,49,195,198
312,Product 312,Books,Prime,107,186,388
313,Product 313,Sports,Prime,323,390,312
314,Product 314,Books,Nova,257,312,87
315,Product 315,Electronics,Nova,8,117,287
316,Product 316,Electronics,Prime,182,349,10
317,Product 317,Sports,Prime,393,566,63
318,Product 318,Clothing,Eco,110,250,261
319,Product 319,Clothing,Prime,497,517,57
320,Product 320,Books,Eco,27,91,368
321,Product 321,Sports,Alpha,463,563,307
322,Product 322,Clothing,Eco,53,187,48
323,Product 323,Electronics,Eco,308,458,349
324,Product 324,Clothing,Prime,498,536,143
325,Product 325,Sports,Prime,440,525,172
326,Product 326,Clothing,Alpha,236,310,493
327,Product 327,Books,Alpha,108,147,89
328,Product 328,Sports,Eco,59,106,170
329,Product 329,Books,Prime,213,248,404
330,Product 330,Home,Eco,111,231,145
331,Product 331,Electronics,Nova,441,476,423
332,Product 332,Books,Alpha,356,438,120
333,Product 333,Clothing,Alpha,432,520,374
334,Product 334,Sports,Max,132,228,35
335,Product 335,Home,Nova,351,432,25
336,Product 336,Sports,Max,492,600,393
337,Product 337,Electronics,Eco,286,354,62
338,Product 338,Electronics,Alpha,416,456,41
339,Product 339,Clothing,Nova,430,491,431
340,Product 340,Electronics,Max,210,310,310
341,Product 341,Electronics,Alpha,137,161,111
342,Product 342,Sports,Nova,467,637,57
343,Product 343,Electronics,Alpha,468,557,492
344,Product 344,Clothing,Max,241,258,231
345,Product 345,Sports,Eco,425,615,25
346,Product 346,Sports,Nova,200,379,191
347,Product 347,Home,Prime,114,166,238
348,Product 348,Electronics,Max,457,500,327
349,Product 349,Home,Eco,320,387,220
350,Product 350,Sports,Alpha,456,601,54
351,Product 351,Clothing,Eco,148,251,112
352,Product 352,Clothing,Max,334,473,416
353,Product 353,Home,Eco,14,116,288
354,Product 354,Home,Max,405,534,267
355,Product 355,Home,Nova,169,273,23
356,Product 356,Clothing,Alpha,168,325,468
357,Product 357,Electronics,Eco,420,496,281
358,Product 358,Clothing,Nova,188,342,61
359,Product 359,Clothing,Prime,131,304,283
360,Product 360,Electronics,Nova,422,615,304
361,Product 361,Home,Nova,438,542,100
362,Product 362,Home,Prime,126,282,477
363,Product 363,Home,Max,307,319,298
364,Product 364,Clothing,Eco,77,226,287
365,Product 365,Sports,Alpha,163,212,56
366,Product 366,Books,Nova,33,97,20
367,Product 367,Electronics,Prime,274,401,479
368,Product 368,Clothing,Prime,319,375,377
369,Product 369,Electronics,Alpha,95,182,85
370,Product 370,Clothing,Alpha,305,490,443
371,Product 371,Electronics,Prime,274,372,370
372,Product 372,Sports,Max,487,661,61
373,Product 373,Home,Nova,177,259,90
374,Product 374,Sports,Prime,379,495,99
375,Product 375,Books,Prime,367,515,124
376,Product 376,Clothing,Eco,345,500,167
377,Product 377,Home,Nova,380,561,100
378,Product 378,Books,Eco,378,383,445
379,Product 379,Electronics,Nova,399,549,318
380,Product 380,Clothing,Max,167,328,63
381,Product 381,Clothing,Prime,484,616,391
382,Product 382,Home,Prime,44,109,95
383,Product 383,Home,Eco,330,357,15
384,Product 384,Clothing,Alpha,140,198,189
385,Product 385,Electronics,Alpha,136,168,207
386,Product 386,Sports,Nova,229,421,462
387,Product 387,Sports,Prime,216,347,289
388,Product 388,Sports,Max,197,227,343
389,Product 389,Clothing,Nova,393,573,241
390,Product 390,Home,Alpha,42,55,173
391,Product 391,Electronics,Prime,138,169,97
392,Product 392,Clothing,Alpha,459,560,290
393,Product 393,Home,Max,487,515,324
394,Product 394,Electronics,Eco,462,590,492
395,Product 395,Books,Eco,339,386,90
396,Product 396,Home,Nova,32,62,107
397,Product 397,Books,Max,214,397,145
398,Product 398,Home,Nova,343,420,59
399,Product 399,Books,Max,30,135,440
400,Product 400,Electronics,Prime,256,300,11
401,Product 401,Home,Max,223,250,255
402,Product 402,Electronics,Nova,107,136,97
403,Product 403,Electronics,Eco,331,410,442
404,Product 404,Sports,Eco,64,147,260
405,Product 405,Home,Alpha,463,637,338
406,Product 406,Clothing,Prime,283,387,463
407,Product 407,Clothing,Eco,200,299,32
408,Product 408,Sports,Prime,139,256,125
409,Product 409,Books,Alpha,433,506,87
410,Product 410,Electronics,Alpha,390,573,352
411,Product 411,Sports,Max,181,324,126
412,Product 412,Sports,Max,288,308,224
413,Product 413,Sports,Max,499,641,461
414,Product 414,Home,Alpha,125,251,212
415,Product 415,Electronics,Max,467,654,302
416,Product 416,Books,Max,466,603,85
417,Product 417,Sports,Nova,66,264,495
418,Product 418,Clothing,Nova,90,149,31
419,Product 419,Sports,Nova,221,246,431
420,Product 420,Books,Prime,326,368,173
421,Product 421,Electronics,Alpha,471,662,208
422,Product 422,Books,Prime,289,395,448
423,Product 423,Sports,Alpha,146,284,412
424,Product 424,Books,Max,363,527,410
425,Product 425,Sports,Nova,219,252,85
426,Product 426,Books,Alpha,295,450,483
427,Product 427,Electronics,Prime,59,208,454
428,Product 428,Sports,Prime,279,372,206
429,Product 429,Books,Max,340,469,252
430,Product 430,Home,Eco,24,73,83
431,Product 431,Sports,Alpha,321,481,212
432,Product 432,Clothing,Alpha,460,549,391
433,Product 433,Home,Alpha,248,321,182
434,Product 434,Home,Prime,423,505,441
435,Product 435,Electronics,Nova,256,439,78
436,Product 436,Sports,Prime,158,353,147
437,Product 437,Books,Alpha,378,489,106
438,Product 438,Sports,Eco,231,290,398
439,Product 439,Electronics,Max,269,369,415
440,Product 440,Home,Max,86,107,216
441,Product 441,Books,Alpha,74,213,98
442,Product 442,Electronics,Nova,103,159,26
443,Product 443,Home,Nova,238,255,150
444,Product 444,Books,Eco,193,316,335
445,Product 445,Electronics,Nova,477,513,200
446,Product 446,Sports,Nova,255,412,455
447,Product 447,Books,Prime,247,402,186
448,Product 448,Electronics,Prime,88,159,24
449,Product 449,Clothing,Max,202,219,409
450,Product 450,Clothing,Nova,499,558,356
451,Product 451,Sports,Max,110,183,20
452,Product 452,Electronics,Eco,447,626,476
453,Product 453,Clothing,Max,72,242,420
454,Product 454,Home,Max,9,71,422
455,Product 455,Home,Eco,487,570,468
456,Product 456,Sports,Prime,197,291,121
457,Product 457,Books,Max,243,325,213
458,Product 458,Electronics,Max,304,335,349
459,Product 459,Books,Max,499,599,321
460,Product 460,Electronics,Eco,149,230,42
461,Product 461,Home,Prime,177,252,143
462,Product 462,Home,Nova,340,527,86
463,Product 463,Clothing,Alpha,269,469,422
464,Product 464,Sports,Prime,443,601,358
465,Product 465,Electronics,Eco,76,265,161
466,Product 466,Sports,Eco,137,249,387
467,Product 467,Books,Nova,23,177,185
468,Product 468,Clothing,Max,376,563,336
469,Product 469,Home,Max,406,532,163
470,Product 470,Books,Nova,437,485,160
471,Product 471,Clothing,Prime,54,179,381
472,Product 472,Clothing,Prime,418,566,345
473,Product 473,Home,Nova,50,111,391
474,Product 474,Sports,Prime,451,534,200
475,Product 475,Home,Eco,138,292,445
476,Product 476,Electronics,Max,65,190,307
477,Product 477,Electronics,Eco,488,651,465
478,Product 478,Electronics,Eco,104,237,281
479,Product 479,Electronics,Nova,157,267,80
480,Product 480,Sports,Max,107,199,467
481,Product 481,Clothing,Prime,469,591,451
482,Product 482,Electronics,Eco,371,422,180
483,Product 483,Home,Alpha,328,378,12
484,Product 484,Clothing,Nova,236,311,305
485,Product 485,Sports,Alpha,396,441,76
486,Product 486,Sports,Eco,319,435,229
487,Product 487,Sports,Alpha,499,626,29
488,Product 488,Home,Alpha,278,334,466
489,Product 489,Books,Nova,169,367,19
490,Product 490,Clothing,Nova,351,357,365
491,Product 491,Home,Nova,454,547,62
492,Product 492,Books,Prime,201,334,95
493,Product 493,Home,Prime,38,54,243
494,Product 494,Books,Max,377,515,182
495,Product 495,Clothing,Prime,227,407,471
496,Product 496,Clothing,Nova,255,351,495
497,Product 497,Electronics,Nova,469,577,124
498,Product 498,Clothing,Alpha,377,415,311
499,Product 499,Electronics,Prime,263,311,374
500,Product 500,Sports,Prime,338,352,404
