SaleID,OrderID,Revenue,Discount,Profit,Tax,ShippingCost
1,1,91,9.1,44.8,4.1,6
2,2,339,16.95,147.95,16.1,6
3,3,1230,61.5,250.07,58.43,16
4,4,1275,63.75,316.69,60.56,6
5,5,543,27.15,373.06,25.79,9
6,6,1690,169.0,-226.05,76.05,16
7,7,2336,116.8,362.24,110.96,10
8,8,626,62.6,30.23,28.17,6
9,9,2060,103.0,-124.85,97.85,4
10,10,972,0.0,376.4,48.6,4
11,11,1340,134.0,-75.3,60.3,5
12,12,190,9.5,32.47,9.03,11
13,13,1412,0.0,702.4,70.6,7
14,14,756,75.6,-27.62,34.02,18
15,15,1052,52.6,138.43,49.97,3
16,16,146,0.0,74.7,7.3,16
17,17,900,90.0,159.5,40.5,13
18,18,1520,152.0,634.6,68.4,10
19,19,664,0.0,166.8,33.2,8
20,20,1956,97.8,240.29,92.91,13
21,21,924,0.0,416.8,46.2,17
22,22,141,7.05,100.25,6.7,6
23,23,432,21.6,34.88,20.52,4
24,24,284,28.4,76.82,12.78,20
25,25,368,36.8,8.64,16.56,18
26,26,1604,160.4,265.42,72.18,10
27,27,179,0.0,36.05,8.95,16
28,28,1956,0.0,333.2,97.8,13
29,29,2280,114.0,-25.3,108.3,3
30,30,180,18.0,45.9,8.1,8
31,31,1030,103.0,133.65,46.35,13
32,32,1750,87.5,14.38,83.12,15
33,33,2028,101.4,399.27,96.33,19
34,34,1752,0.0,353.4,87.6,9
35,35,1419,141.9,203.25,63.85,8
36,36,441,22.05,54.0,20.95,20
37,37,1512,75.6,49.58,71.82,3
38,38,1114,0.0,299.3,55.7,11
39,39,441,44.1,-3.94,19.84,12
40,40,1745,0.0,728.75,87.25,19
41,41,1488,74.4,67.92,70.68,15
42,42,1056,0.0,-21.8,52.8,11
43,43,1575,157.5,17.62,70.88,9
44,44,601,60.1,38.85,27.05,19
45,45,2670,133.5,647.67,126.83,17
46,46,990,99.0,104.45,44.55,12
47,47,1209,120.9,-38.31,54.41,10
48,48,1775,177.5,-177.38,79.88,20
49,49,726,36.3,49.21,34.49,14
50,50,2105,210.5,651.77,94.73,3
51,51,1485,74.25,234.21,70.54,11
52,52,2075,103.75,78.69,98.56,4
53,53,1446,0.0,78.7,72.3,8
54,54,2150,0.0,683.5,107.5,9
55,55,372,37.2,34.06,16.74,5
56,56,1660,0.0,140.0,83.0,5
57,57,2460,246.0,312.3,110.7,15
58,58,175,17.5,58.62,7.88,5
59,59,300,15.0,51.75,14.25,12
60,60,2240,224.0,76.2,100.8,3
61,61,276,27.6,62.98,12.42,7
62,62,1596,0.0,294.2,79.8,4
63,63,594,59.4,68.87,26.73,19
64,64,1295,129.5,297.22,58.28,20
65,65,3305,165.25,540.76,156.99,7
66,66,1143,0.0,34.85,57.15,13
67,67,1047,104.7,335.18,47.12,14
68,68,1050,0.0,143.5,52.5,10
69,69,621,62.1,82.95,27.95,13
70,70,759,75.9,-23.06,34.16,6
71,71,860,86.0,190.3,38.7,5
72,72,273,27.3,-24.59,12.29,9
73,73,1500,150.0,280.5,67.5,7
74,74,1625,81.25,232.56,77.19,19
75,75,2315,231.5,506.32,104.18,8
76,76,506,50.6,-29.37,22.77,18
77,77,552,27.6,152.18,26.22,14
78,78,1940,194.0,-102.3,87.3,13
79,79,1660,166.0,-140.7,74.7,15
80,80,230,11.5,48.57,10.93,10
81,81,738,73.8,-35.01,33.21,3
82,82,598,59.8,-31.71,26.91,11
83,83,1656,82.8,340.54,78.66,18
84,84,2136,0.0,626.2,106.8,7
85,85,705,0.0,521.75,35.25,8
86,86,1096,109.6,153.08,49.32,12
87,87,705,0.0,554.75,35.25,10
88,88,2695,0.0,322.25,134.75,13
89,89,35,1.75,-2.41,1.66,7
90,90,510,51.0,71.05,22.95,19
91,91,1056,105.6,196.88,47.52,16
92,92,159,0.0,45.05,7.95,18
93,93,2055,102.75,202.64,97.61,7
94,94,462,23.1,-30.05,21.95,9
95,95,1496,149.6,94.08,67.32,13
96,96,2372,118.6,444.73,112.67,20
97,97,936,0.0,102.2,46.8,16
98,98,768,38.4,125.12,36.48,12
99,99,1128,112.8,450.44,50.76,10
100,100,1252,125.2,57.46,56.34,15
101,101,2015,0.0,129.25,100.75,15
102,102,308,30.8,-40.66,13.86,16
103,103,804,80.4,203.42,36.18,4
104,104,2000,0.0,653.0,100.0,19
105,105,680,68.0,38.4,30.6,8
106,106,216,10.8,-16.06,10.26,15
107,107,2880,288.0,227.4,129.6,5
108,108,2395,119.75,220.49,113.76,11
109,109,1197,119.7,225.43,53.87,6
110,110,1521,152.1,230.45,68.45,11
111,111,1280,64.0,318.2,60.8,17
112,112,155,7.75,49.89,7.36,5
113,113,276,13.8,64.09,13.11,19
114,114,624,0.0,400.8,31.2,15
115,115,349,17.45,8.97,16.58,13
116,116,1056,52.8,167.04,50.16,9
117,117,522,0.0,359.9,26.1,6
118,118,1845,92.25,307.11,87.64,13
119,119,1150,0.0,328.5,57.5,19
120,120,840,84.0,22.2,37.8,16
121,121,1845,184.5,184.47,83.03,8
122,122,1710,171.0,519.05,76.95,3
123,123,936,0.0,107.2,46.8,11
124,124,1047,52.35,56.92,49.73,9
125,125,984,49.2,265.06,46.74,8
126,126,946,0.0,210.7,47.3,20
127,127,190,0.0,88.5,9.5,8
128,128,1675,83.75,-20.31,79.56,12
129,129,165,16.5,84.07,7.43,8
130,130,327,16.35,143.12,15.53,20
131,131,1269,0.0,108.55,63.45,14
132,132,390,19.5,239.97,18.53,14
133,133,964,96.4,212.22,43.38,12
134,134,692,34.6,197.53,32.87,15
135,135,592,29.6,7.28,28.12,13
136,136,965,48.25,588.91,45.84,17
137,137,2200,110.0,252.5,104.5,8
138,138,616,30.8,65.94,29.26,6
139,139,1544,0.0,99.8,77.2,11
140,140,2400,0.0,300.0,120.0,12
141,141,700,0.0,-24.0,35.0,14
142,142,1020,102.0,-96.9,45.9,17
143,143,990,49.5,175.47,47.03,18
144,144,1760,88.0,249.4,83.6,11
145,145,2280,114.0,200.7,108.3,12
146,146,1870,93.5,202.67,88.83,20
147,147,536,26.8,370.74,25.46,5
148,148,1370,68.5,251.42,65.08,20
